Date,Close,High,Low,Open,DailyReturn,Target
5/26/99,1.0468,1.0625,1.045,1.0593,-1.1941153993121854,-0.25859591993103387
5/27/99,1.0441,1.0485,1.041,1.0468,-0.25859591993103387,-0.38457840592250775
5/28/99,1.0401,1.051,1.0395,1.0441,-0.38457840592250775,0.18234165067178626
5/31/99,1.042,1.0485,1.0415,1.0401,0.18234165067178626,0.26799387442571915
6/1/99,1.0448,1.0478,1.0415,1.042,0.26799387442571915,-0.9663703131039824
6/2/99,1.0348,1.046,1.033,1.0448,-0.9663703131039824,-0.2227602905568977
6/3/99,1.0325,1.0404,1.0305,1.0348,-0.2227602905568977,0.4627398052636785
6/4/99,1.0373,1.0377,1.027,1.0325,0.4627398052636785,-0.8654220147802538
6/7/99,1.0284,1.037,1.026,1.0373,-0.8654220147802538,1.6637980493402256
6/8/99,1.0458,1.0468,1.0265,1.0284,1.6637980493402256,0.12415242097219528
6/9/99,1.0471,1.0492,1.0427,1.0458,0.12415242097219528,0.1049418049990556
6/10/99,1.0482,1.052,1.0435,1.0471,0.1049418049990556,0.5691519635742748
6/11/99,1.0542,1.0563,1.0473,1.0482,0.5691519635742748,-1.1514104778353493
6/14/99,1.0422,1.051,1.0408,1.0542,-1.1514104778353493,0
6/15/99,1.0422,1.0435,1.038,1.0422,0,-1.0569184524386608
6/16/99,1.0313,1.044,1.029,1.0422,-1.0569184524386608,0.28040997872750945
6/17/99,1.0342,1.0355,1.029,1.0313,0.28040997872750945,0.4332338500048088
6/18/99,1.0387,1.0423,1.0295,1.0342,0.4332338500048088,-0.3768844221105542
6/21/99,1.0348,1.0415,1.031,1.0387,-0.3768844221105542,-0.24217766153249506
6/22/99,1.0323,1.0355,1.0295,1.0348,-0.24217766153249506,0.04841208365607523
6/23/99,1.0328,1.035,1.0272,1.0323,0.04841208365607523,0.7686395080707156
6/24/99,1.0408,1.0422,1.0308,1.0328,0.7686395080707156,0.22049659668296126
6/25/99,1.0431,1.048,1.0405,1.0408,0.22049659668296126,-0.6756104623105776
6/28/99,1.0361,1.0435,1.0346,1.0431,-0.6756104623105776,-0.2515723270440189
6/29/99,1.0335,1.0367,1.032,1.0361,-0.2515723270440189,0.04835589941972388
6/30/99,1.034,1.036,1.0291,1.0335,0.04835589941972388,-1.0456366656894294
7/1/99,1.0233,1.039,1.0203,1.034,-1.0456366656894294,0.1171303074670442
7/2/99,1.0245,1.025,1.021,1.0233,0.1171303074670442,-0.19559902200489018
7/5/99,1.0225,1.0255,1.0217,1.0245,-0.19559902200489018,0.08794215360564031
7/6/99,1.0234,1.026,1.0185,1.0225,0.08794215360564031,-0.06844626967831671
7/7/99,1.0227,1.027,1.02,1.0234,-0.06844626967831671,-0.1665034280117566
7/8/99,1.021,1.0227,1.0146,1.0227,-0.1665034280117566,-0.35384312954588415
7/9/99,1.0174,1.024,1.0165,1.021,-0.35384312954588415,-0.17723513194171167
7/12/99,1.0156,1.02,1.0112,1.0174,-0.17723513194171167,0.16710901405682047
7/13/99,1.0173,1.021,1.011,1.0156,0.16710901405682047,0.3819036427732094
7/14/99,1.0212,1.0227,1.0125,1.0173,0.3819036427732094,-0.0489859900068744
7/15/99,1.0207,1.0253,1.0185,1.0212,-0.0489859900068744,-0.10788544527264406
7/16/99,1.0196,1.023,1.0185,1.0207,-0.10788544527264406,1.0193185127657463
7/19/99,1.0301,1.0341,1.0125,1.0196,1.0193185127657463,1.0755786036684796
7/20/99,1.0413,1.0437,1.028,1.0301,1.0755786036684796,1.045329278722809
7/21/99,1.0523,1.055,1.044,1.0413,1.045329278722809,0
7/22/99,1.0523,1.058,1.0475,1.0523,0,-0.08560015217806002
7/23/99,1.0514,1.0547,1.0457,1.0523,-0.08560015217806002,1.3788575180564822
